threshold,model_name,avg_pr,avg_recall,avg_f1,total_time
0.1,mistral,0.44225129709000677,0.2298437726982149,0.2810592298195697,1460.0
0.2,mistral,0.4907875612391177,0.42035611269354084,0.4299649699379148,1601.86
0.3,mistral,0.7112374886042487,0.5203484040409534,0.5281256085819913,1475.5
0.4,mistral,0.8108001648800419,0.6546556400476372,0.6612579981806542,1209.82
0.5,mistral,0.8233714404149167,0.8164125665626885,0.7934587247261563,1219.24
0.6,mistral,0.8178934352699341,0.8493898001422813,0.8201901827170266,1209.41
0.7,mistral,0.8185752064217716,0.8608089077540948,0.8292119573740113,1207.26
0.8,mistral,0.832699007642347,0.873825319751831,0.8423143894138249,1220.26
0.9,mistral,0.8282656857217586,0.8755231126211009,0.8417488703962567,1207.06
1.0,mistral,0.8282656857217586,0.8755231126211009,0.8417488703962567,1213.02
0.1,bert,0.3985474835095329,0.09051026578222614,0.12955217479227918,29.8
0.2,bert,0.7687164756044245,0.30866560667712334,0.388160579113392,27.13
0.3,bert,0.7277310700394964,0.5564725439977597,0.5940864819132152,29.42
0.4,bert,0.728744959873121,0.6770703303759796,0.6824583900329155,27.83
0.5,bert,0.7319070980190588,0.7446290408547127,0.7284548813881639,28.52
0.6,bert,0.7253557586467357,0.7590863738132302,0.7339932798158392,29.17
0.7,bert,0.7277228656827731,0.7604024923165402,0.7351491082220681,29.38
0.8,bert,0.7332573375360306,0.76719366379362,0.7419799222057573,29.45
0.9,bert,0.7337195571633357,0.7677595947500433,0.7425005671478286,29.23
1.0,bert,0.7337195571633357,0.7677595947500433,0.7425005671478286,27.88
0.1,fasttext,0.605543311293662,0.18078934462693605,0.2408908980624126,0.93
0.2,fasttext,0.6806789220824367,0.28648945627978056,0.3562239939218859,0.81
0.3,fasttext,0.7105907774933087,0.3924622896772266,0.45248148946188854,0.82
0.4,fasttext,0.7626014948159324,0.4818424518795685,0.5334955041880995,0.83
0.5,fasttext,0.7364306696940973,0.5817372962573099,0.6043664101195718,0.79
0.6,fasttext,0.7277169544348264,0.6404143535216456,0.6423154074128774,0.81
0.7,fasttext,0.708424931250705,0.6780168732055346,0.6692439438954947,0.86
0.8,fasttext,0.685757363684839,0.7202886518258693,0.6931098346061338,0.87
0.9,fasttext,0.6867720020811443,0.728558265072915,0.6977806564419567,0.82
1.0,fasttext,0.6887795157613671,0.7333763259181405,0.7015748716774783,0.8
0.1,roberta,0.7255025521547994,0.766257238217855,0.7367747265528596,30.63
0.2,roberta,0.7316054292254184,0.7702187549128182,0.7415791191403681,31.32
0.3,roberta,0.7323263734947498,0.7724824787385115,0.7432855285652892,31.36
0.4,roberta,0.7323263734947498,0.7724824787385115,0.7432855285652892,31.64
0.5,roberta,0.7323263734947498,0.7724824787385115,0.7432855285652892,31.52
0.6,roberta,0.7323263734947498,0.7724824787385115,0.7432855285652892,30.94
0.7,roberta,0.7323263734947498,0.7724824787385115,0.7432855285652892,31.23
0.8,roberta,0.7323263734947498,0.7724824787385115,0.7432855285652892,31.47
0.9,roberta,0.7323263734947498,0.7724824787385115,0.7432855285652892,31.4
1.0,roberta,0.7323263734947498,0.7724824787385115,0.7432855285652892,31.22
0.1,llama3,0.39722105851138106,0.21961886946446973,0.2675840430003915,1339.0
0.2,llama3,0.6138491771003298,0.4186095848736086,0.43861148114372583,1356.72
0.3,llama3,0.7262791942152597,0.538098958384263,0.5554286583095039,1112.22
0.4,llama3,0.7739661359683002,0.6958645798464297,0.7017372259209517,1037.88
0.5,llama3,0.8113874703674,0.7972806027493136,0.7789459340972213,1031.26
0.6,llama3,0.8085602124296933,0.8459861219456134,0.816307712691305,1029.64
0.7,llama3,0.8126369931300808,0.8509549957430101,0.8191224210917519,1030.63
0.8,llama3,0.8141423694741667,0.8588780291329365,0.8260982694152036,1034.44
0.9,llama3,0.8136709054543158,0.8588780291329365,0.8258880651021429,1032.57
1.0,llama3,0.8136709054543158,0.8588780291329365,0.8258880651021429,1032.54
