threshold,model_name,avg_pr,avg_recall,avg_f1,total_time
0.1,llama3,0.39722105851138106,0.21961886946446973,0.2675840430003915,1339.0
0.2,llama3,0.6138491771003298,0.4186095848736086,0.43861148114372583,1356.72
0.3,llama3,0.7262791942152597,0.538098958384263,0.5554286583095039,1112.22
0.4,llama3,0.7739661359683002,0.6958645798464297,0.7017372259209517,1037.88
0.5,llama3,0.8113874703674,0.7972806027493136,0.7789459340972213,1031.26
0.6,llama3,0.8085602124296933,0.8459861219456134,0.816307712691305,1029.64
0.7,llama3,0.8126369931300808,0.8509549957430101,0.8191224210917519,1030.63
0.8,llama3,0.8141423694741667,0.8588780291329365,0.8260982694152036,1034.44
0.9,llama3,0.8136709054543158,0.8588780291329365,0.8258880651021429,1032.57
1.0,llama3,0.8136709054543158,0.8588780291329365,0.8258880651021429,1032.54
